"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.760251060E-1	-1.269836426E-1	9.642028809E0	1.766967773E-1	9.644483716E0
2.800229090E-1	-1.150054932E-1	9.649215698E0	1.383819580E-1	9.650893193E0
2.840207120E-1	-1.126098633E-1	9.644424438E0	9.049987793E-2	9.645506413E0
2.880185140E-1	-1.078186035E-1	9.644424438E0	4.980468750E-2	9.645155681E0
2.920163170E-1	-9.825134277E-2	9.646820068E0	6.698608398E-3	9.647322718E0
2.960141200E-1	-8.866882324E-2	9.651596069E0	-3.160095215E-2	9.652055090E0
3.000119230E-1	-7.910156250E-2	9.651596069E0	-7.229614258E-2	9.652190968E0
3.040097250E-1	-7.670593262E-2	9.651596069E0	-1.082153320E-1	9.652507500E0
3.080075280E-1	-5.993652344E-2	9.656387329E0	-1.513061523E-1	9.657758652E0
3.120053310E-1	-5.036926270E-2	9.661178589E0	-1.896209717E-1	9.663170541E0
3.160031340E-1	-5.036926270E-2	9.653991699E0	-2.279205322E-1	9.656813168E0
3.200009360E-1	-4.078674316E-2	9.658782959E0	-2.686309814E-1	9.662603915E0
3.239987390E-1	-4.318237305E-2	9.656387329E0	-3.093261719E-1	9.661436935E0
3.279965420E-1	-3.120422363E-2	9.665969849E0	-3.404541016E-1	9.672014052E0
3.319943450E-1	-1.924133301E-2	9.675552368E0	-3.763732910E-1	9.682889068E0
3.359921470E-1	-1.684570312E-2	9.680328369E0	-4.098815918E-1	9.689016670E0
3.399899500E-1	-9.658813477E-3	9.675552368E0	-4.434051514E-1	9.685711902E0
3.439877530E-1	-9.155273438E-5	9.682723999E0	-4.793243408E-1	9.694580748E0
3.479855560E-1	2.304077148E-3	9.685119629E0	-5.128326416E-1	9.698687790E0
3.519833580E-1	7.095336914E-3	9.687515259E0	-5.439605713E-1	9.702777712E0
3.559811610E-1	1.428222656E-2	9.677932739E0	-5.750885010E-1	9.695014846E0
3.599789640E-1	1.907348633E-2	9.675552368E0	-6.086120605E-1	9.694693707E0
3.639767660E-1	3.103637695E-2	9.680328369E0	-6.373291016E-1	9.701335422E0
3.680050870E-1	3.582763672E-2	9.687515259E0	-6.684570312E-1	9.710616371E0
3.720028890E-1	4.301452637E-2	9.692306519E0	-7.043762207E-1	9.717962840E0
3.760006920E-1	5.018615723E-2	9.687515259E0	-7.283172607E-1	9.714984126E0
3.799984950E-1	5.258178711E-2	9.692306519E0	-7.546539307E-1	9.721783429E0
3.839962980E-1	4.301452637E-2	9.692306519E0	-7.785949707E-1	9.723624120E0
3.879941000E-1	4.779052734E-2	9.694702148E0	-8.049316406E-1	9.728178073E0
3.919919030E-1	5.497741699E-2	9.685119629E0	-8.240814209E-1	9.720271340E0
3.959897060E-1	5.737304688E-2	9.682723999E0	-8.480224609E-1	9.719957706E0
3.999875090E-1	6.216430664E-2	9.685119629E0	-8.695678711E-1	9.724276575E0
4.039853110E-1	7.174682617E-2	9.687515259E0	-8.887329102E-1	9.728460602E0
4.079831140E-1	7.652282715E-2	9.685119629E0	-9.006958008E-1	9.727211877E0
4.119809170E-1	7.412719727E-2	9.680328369E0	-9.246368408E-1	9.724669941E0
4.159787200E-1	6.455993652E-2	9.689910889E0	-9.437866211E-1	9.735978338E0
4.199765220E-1	7.174682617E-2	9.694702148E0	-9.533691406E-1	9.741730343E0
4.239743250E-1	6.695556641E-2	9.697097778E0	-9.605560303E-1	9.744786106E0
4.280026450E-1	5.497741699E-2	9.697097778E0	-9.701232910E-1	9.745658882E0
4.320004480E-1	5.258178711E-2	9.697097778E0	-9.821014404E-1	9.746845305E0
4.359982510E-1	5.018615723E-2	9.692306519E0	-9.940643311E-1	9.743279129E0
4.399960540E-1	6.455993652E-2	9.694702148E0	-1.003646851E0	9.746728925E0
4.439938560E-1	6.695556641E-2	9.697097778E0	-1.008438110E0	9.749622341E0
4.479916590E-1	5.018615723E-2	9.687515259E0	-1.003646851E0	9.739495754E0
4.519894620E-1	4.301452637E-2	9.687515259E0	-1.006042480E0	9.739708600E0
4.559872640E-1	3.822326660E-2	9.682723999E0	-1.001251221E0	9.734429057E0
4.599850670E-1	2.384948730E-2	9.685119629E0	-1.001251221E0	9.736766149E0
4.639828700E-1	2.384948730E-2	9.682723999E0	-1.003646851E0	9.734629928E0
4.679806730E-1	2.146911621E-2	9.677932739E0	-1.001251221E0	9.729611865E0
4.719784750E-1	1.188659668E-2	9.680328369E0	-9.964599609E-1	9.731486581E0
4.759762780E-1	2.304077148E-3	9.680328369E0	-9.940643311E-1	9.731234584E0
4.800045980E-1	-7.263183594E-3	9.675552368E0	-9.821014404E-1	9.725270671E0
4.840024010E-1	-9.658813477E-3	9.682723999E0	-9.725189209E-1	9.731445442E0
4.880002040E-1	-2.642822266E-2	9.670761108E0	-9.557647705E-1	9.717911564E0
4.919980070E-1	-3.839111328E-2	9.665969849E0	-9.366149902E-1	9.711317863E0
4.959958090E-1	-4.318237305E-2	9.665969849E0	-9.198455811E-1	9.709734998E0
4.999936120E-1	-5.036926270E-2	9.673156738E0	-8.983001709E-1	9.714908211E0
5.039914150E-1	-5.754089355E-2	9.670761108E0	-8.887329102E-1	9.711682530E0
5.079892180E-1	-6.951904297E-2	9.663574219E0	-8.647918701E-1	9.702441165E0
5.119870200E-1	-7.191467285E-2	9.663574219E0	-8.456268311E-1	9.700769203E0
5.159848230E-1	-8.627319336E-2	9.661178589E0	-8.264770508E-1	9.696848927E0
5.199826260E-1	-1.006469727E-1	9.656387329E0	-8.073272705E-1	9.690599743E0
5.239804290E-1	-9.825134277E-2	9.656387329E0	-7.809906006E-1	9.688416583E0
5.279782310E-1	-1.102142334E-1	9.653991699E0	-7.498626709E-1	9.683697482E0
5.319760340E-1	-1.126098633E-1	9.656387329E0	-7.259216309E-1	9.684289310E0
5.360043540E-1	-1.245880127E-1	9.653991699E0	-7.067718506E-1	9.680630369E0
5.400021570E-1	-1.245880127E-1	9.663574219E0	-6.756439209E-1	9.687965915E0
5.439999600E-1	-1.293792725E-1	9.653991699E0	-6.421203613E-1	9.676187952E0
5.479977630E-1	-1.341552734E-1	9.656387329E0	-6.181793213E-1	9.677084249E0
5.519955650E-1	-1.365509033E-1	9.646820068E0	-5.870513916E-1	9.665630498E0
5.559933680E-1	-1.485290527E-1	9.642028809E0	-5.583190918E-1	9.659321955E0
5.599911710E-1	-1.461334229E-1	9.637237549E0	-5.224151611E-1	9.652492950E0
5.639889730E-1	-1.485290527E-1	9.637237549E0	-4.888916016E-1	9.650773205E0
5.679867760E-1	-1.580963135E-1	9.639633179E0	-4.505920410E-1	9.651453541E0
5.719845790E-1	-1.580963135E-1	9.644424438E0	-4.194641113E-1	9.654836474E0
5.759823820E-1	-1.580963135E-1	9.644424438E0	-3.859405518E-1	9.653438108E0
5.799801840E-1	-1.580963135E-1	9.639633179E0	-3.476409912E-1	9.647195267E0
5.840085050E-1	-1.628875732E-1	9.646820068E0	-3.189086914E-1	9.653464277E0
5.880063070E-1	-1.557159424E-1	9.639633179E0	-2.853851318E-1	9.645113786E0
5.920041100E-1	-1.604919434E-1	9.634841919E0	-2.470855713E-1	9.639345815E0
5.960019130E-1	-1.533203125E-1	9.639633179E0	-2.111663818E-1	9.643164739E0
5.999997160E-1	-1.437377930E-1	9.644424438E0	-1.752471924E-1	9.647087378E0
6.039975180E-1	-1.365509033E-1	9.639633179E0	-1.297607422E-1	9.641473529E0
6.079953210E-1	-1.341552734E-1	9.644424438E0	-8.906555176E-2	9.645768661E0
6.119931240E-1	-1.317596436E-1	9.639633179E0	-5.554199219E-2	9.640693613E0
6.159909270E-1	-1.365509033E-1	9.637237549E0	-1.245117188E-2	9.638212944E0
6.199887290E-1	-1.365509033E-1	9.642028809E0	2.825927734E-2	9.643037088E0
6.239865320E-1	-1.293792725E-1	9.646820068E0	7.135009766E-2	9.647951454E0
6.279843350E-1	-1.174011230E-1	9.653991699E0	1.120452881E-1	9.655355659E0
6.319821380E-1	-1.078186035E-1	9.653991699E0	1.503601074E-1	9.655764534E0
6.360104580E-1	-9.106445312E-2	9.651596069E0	1.934509277E-1	9.653964092E0
6.400082610E-1	-8.387756348E-2	9.653991699E0	2.341613770E-1	9.657195386E0
6.440060630E-1	-7.910156250E-2	9.649215698E0	2.772521973E-1	9.653522126E0
6.480038660E-1	-7.910156250E-2	9.644424438E0	3.203430176E-1	9.650067329E0
6.520016690E-1	-7.670593262E-2	9.653991699E0	3.586578369E-1	9.660956214E0
6.559994720E-1	-6.951904297E-2	9.651596069E0	3.969573975E-1	9.660005940E0
6.599972740E-1	-6.233215332E-2	9.656387329E0	4.352722168E-1	9.666393508E0
6.639950770E-1	-5.514526367E-2	9.653991699E0	4.783630371E-1	9.665993375E0
6.679928800E-1	-4.557800293E-2	9.656387329E0	5.238494873E-1	9.670693454E0
6.719906820E-1	-4.318237305E-2	9.658782959E0	5.645599365E-1	9.675364639E0
6.759884850E-1	-3.839111328E-2	9.670761108E0	6.076507568E-1	9.689908861E0
6.799862880E-1	-3.120422363E-2	9.663574219E0	6.435699463E-1	9.685030855E0
6.840146080E-1	-2.882385254E-2	9.661178589E0	6.746826172E-1	9.684750858E0
6.880124110E-1	-2.642822266E-2	9.658782959E0	7.153930664E-1	9.685276142E0
6.920102140E-1	-1.924133301E-2	9.663574219E0	7.512969971E-1	9.692754205E0
6.960080160E-1	-1.205444336E-2	9.670761108E0	7.872161865E-1	9.702756054E0
7.000058190E-1	-7.263183594E-3	9.665969849E0	8.231353760E-1	9.700957567E0
7.040036220E-1	-4.867553711E-3	9.661178589E0	8.614349365E-1	9.699508522E0
7.080014250E-1	2.304077148E-3	9.658782959E0	8.949584961E-1	9.700156920E0
7.119992270E-1	4.699707031E-3	9.661178589E0	9.236907959E-1	9.705235623E0
7.159970300E-1	-9.155273438E-5	9.663574219E0	9.548034668E-1	9.710629040E0
7.199948330E-1	9.490966797E-3	9.668365479E0	9.787445068E-1	9.717783796E0
7.239926360E-1	1.188659668E-2	9.668365479E0	9.979095459E-1	9.719735376E0
7.279904380E-1	2.146911621E-2	9.677932739E0	1.021850586E0	9.731753267E0
7.319882410E-1	2.384948730E-2	9.680328369E0	1.052978516E0	9.737458081E0
7.360165610E-1	1.667785645E-2	9.677932739E0	1.076919556E0	9.737680216E0
7.400143640E-1	9.490966797E-3	9.675552368E0	1.098464966E0	9.737711692E0
7.440121670E-1	1.188659668E-2	9.680328369E0	1.112823486E0	9.744089221E0
7.480099700E-1	4.699707031E-3	9.680328369E0	1.124801636E0	9.745458334E0
7.520077720E-1	2.304077148E-3	9.675552368E0	1.136764526E0	9.742102059E0
7.560055750E-1	2.304077148E-3	9.670761108E0	1.146347046E0	9.738466885E0
7.600033780E-1	-4.867553711E-3	9.673156738E0	1.148742676E0	9.741129027E0
7.640011810E-1	-4.867553711E-3	9.670761108E0	1.158309937E0	9.739883265E0
7.679989830E-1	-1.205444336E-2	9.665969849E0	1.163101196E0	9.735703509E0
7.719967860E-1	-1.445007324E-2	9.661178589E0	1.160705566E0	9.730663798E0
7.759945890E-1	-9.658813477E-3	9.661178589E0	1.155929565E0	9.730089320E0
7.799923910E-1	-2.163696289E-2	9.665969849E0	1.153533936E0	9.734581748E0
7.840207120E-1	-2.882385254E-2	9.665969849E0	1.143951416E0	9.733469514E0
7.880185140E-1	-3.120422363E-2	9.668365479E0	1.143951416E0	9.735855873E0
7.920163170E-1	-4.318237305E-2	9.673156738E0	1.134368896E0	9.739538942E0
7.960141200E-1	-4.797363281E-2	9.668365479E0	1.120010376E0	9.733140076E0
8.000119230E-1	-5.514526367E-2	9.658782959E0	1.110427856E0	9.722560325E0
8.040097250E-1	-6.951904297E-2	9.658782959E0	1.093673706E0	9.720753228E0
8.080075280E-1	-7.910156250E-2	9.656387329E0	1.072128296E0	9.716045100E0
8.120053310E-1	-8.627319336E-2	9.653991699E0	1.050582886E0	9.711370819E0
8.160031340E-1	-9.106445312E-2	9.649215698E0	1.029022217E0	9.704356911E0
8.200009360E-1	-1.054382324E-1	9.649215698E0	1.002685547E0	9.701745158E0
8.239987390E-1	-1.126098633E-1	9.653991699E0	9.787445068E-1	9.704131982E0
8.279965420E-1	-1.197967529E-1	9.653991699E0	9.476318359E-1	9.701129475E0
8.320248620E-1	-1.245880127E-1	9.651596069E0	9.212951660E-1	9.696268026E0
8.360226650E-1	-1.413421631E-1	9.649215698E0	8.805847168E-1	9.690344196E0
8.400204680E-1	-1.413421631E-1	9.653991699E0	8.542480469E-1	9.692743320E0
8.440182700E-1	-1.485290527E-1	9.651596069E0	8.207397461E-1	9.687568389E0
8.480160730E-1	-1.604919434E-1	9.639633179E0	7.824249268E-1	9.672666346E0
8.520138760E-1	-1.604919434E-1	9.639633179E0	7.489013672E-1	9.670012344E0
8.560116790E-1	-1.580963135E-1	9.630050659E0	7.177886963E-1	9.658058333E0
8.600094810E-1	-1.580963135E-1	9.634841919E0	6.938476562E-1	9.661086782E0
8.640072840E-1	-1.844329834E-1	9.644424438E0	6.579284668E-1	9.668599079E0
8.680050870E-1	-1.844329834E-1	9.642028809E0	6.124420166E-1	9.663219975E0
8.720028890E-1	-1.820526123E-1	9.637237549E0	5.693359375E-1	9.655756528E0
8.760006920E-1	-1.916198730E-1	9.632446289E0	5.358276367E-1	9.649240952E0
8.800290130E-1	-1.988067627E-1	9.627655029E0	4.903411865E-1	9.642183361E0
8.840268150E-1	-2.035980225E-1	9.632446289E0	4.520263672E-1	9.645195773E0
8.880246180E-1	-2.012023926E-1	9.639633179E0	4.161071777E-1	9.650707508E0
8.920224210E-1	-2.035980225E-1	9.630050659E0	3.802032471E-1	9.639703437E0
8.960202230E-1	-2.012023926E-1	9.625274658E0	3.466796875E-1	9.633617257E0
9.000180260E-1	-1.964111328E-1	9.622879028E0	3.011932373E-1	9.629594773E0
9.040158290E-1	-1.988067627E-1	9.630050659E0	2.581024170E-1	9.635560009E0
9.080136320E-1	-1.940155029E-1	9.630050659E0	2.221832275E-1	9.634567095E0
9.120114340E-1	-1.820526123E-1	9.639633179E0	1.766967773E-1	9.642971156E0
9.160092370E-1	-1.724700928E-1	9.639633179E0	1.455688477E-1	9.642274838E0
9.200070400E-1	-1.724700928E-1	9.634841919E0	1.072540283E-1	9.636982316E0
9.240048430E-1	-1.652832031E-1	9.632446289E0	6.655883789E-2	9.634094152E0
9.280331630E-1	-1.628875732E-1	9.632446289E0	3.063964844E-2	9.633872153E0
9.320309660E-1	-1.580963135E-1	9.637237549E0	-1.005554199E-2	9.638539471E0
9.360287680E-1	-1.485290527E-1	9.637237549E0	-5.075073242E-2	9.638515658E0
9.400265710E-1	-1.533203125E-1	9.639633179E0	-8.187866211E-2	9.641200084E0
9.440243740E-1	-1.485290527E-1	9.637237549E0	-1.201934814E-1	9.639131440E0
9.480221770E-1	-1.389465332E-1	9.646820068E0	-1.584930420E-1	9.649122427E0
9.520199790E-1	-1.245880127E-1	9.644424438E0	-1.896209717E-1	9.647092880E0
9.560177820E-1	-1.102142334E-1	9.651596069E0	-2.255249023E-1	9.654859675E0
9.600155850E-1	-1.030426025E-1	9.653991699E0	-2.638397217E-1	9.658146039E0
9.640133880E-1	-1.030426025E-1	9.653991699E0	-2.973632812E-1	9.659119961E0
9.680111900E-1	-9.585571289E-2	9.656387329E0	-3.332672119E-1	9.662612049E0
9.720089930E-1	-8.866882324E-2	9.656387329E0	-3.667907715E-1	9.663757752E0
9.760067960E-1	-8.148193359E-2	9.656387329E0	-3.955230713E-1	9.664827678E0
9.800351160E-1	-5.754089355E-2	9.656387329E0	-4.290466309E-1	9.666085465E0
9.840329190E-1	-4.557800293E-2	9.663574219E0	-4.553833008E-1	9.674405304E0
9.880307220E-1	-3.599548340E-2	9.677932739E0	-4.864959717E-1	9.690219611E0
9.920285240E-1	-2.882385254E-2	9.677932739E0	-5.176239014E-1	9.691808264E0
9.960263270E-1	-2.642822266E-2	9.677932739E0	-5.487518311E-1	9.693513766E0
1.000024130E0	-1.924133301E-2	9.677932739E0	-5.774841309E-1	9.695165819E0
1.004021932E0	-4.867553711E-3	9.677932739E0	-6.038208008E-1	9.696752310E0
1.008019735E0	4.699707031E-3	9.687515259E0	-6.181793213E-1	9.707219975E0
1.012017538E0	1.428222656E-2	9.697097778E0	-6.517028809E-1	9.718982763E0
1.016015341E0	1.907348633E-2	9.694702148E0	-6.684570312E-1	9.717738850E0
1.020013143E0	1.907348633E-2	9.694702148E0	-6.971893311E-1	9.719757533E0
1.024010946E0	2.384948730E-2	9.689910889E0	-7.187347412E-1	9.716559137E0
1.028008749E0	3.343200684E-2	9.692306519E0	-7.378845215E-1	9.720411355E0
1.032037069E0	3.343200684E-2	9.694702148E0	-7.690124512E-1	9.725211956E0
1.036034872E0	4.301452637E-2	9.689910889E0	-7.857818604E-1	9.721814461E0
1.040032675E0	4.779052734E-2	9.699493408E0	-8.073272705E-1	9.733151269E0
1.044030477E0	4.541015625E-2	9.706665039E0	-8.240814209E-1	9.741689712E0
1.048028280E0	4.301452637E-2	9.706665039E0	-8.384552002E-1	9.742905293E0
1.052026083E0	4.779052734E-2	9.704269409E0	-8.504180908E-1	9.741577882E0
1.056023886E0	5.497741699E-2	9.697097778E0	-8.623962402E-1	9.735525415E0
1.060021688E0	6.216430664E-2	9.692306519E0	-8.695678711E-1	9.731434547E0
1.064019491E0	7.174682617E-2	9.687515259E0	-8.839416504E-1	9.728024072E0
1.068017294E0	8.131408691E-2	9.692306519E0	-8.935089111E-1	9.733744182E0
1.072015097E0	8.131408691E-2	9.694702148E0	-9.006958008E-1	9.736791805E0
1.076012899E0	7.891845703E-2	9.697097778E0	-9.078826904E-1	9.739824661E0
1.080041220E0	7.652282715E-2	9.701889038E0	-9.174499512E-1	9.745471824E0
1.084039022E0	7.412719727E-2	9.704269409E0	-9.246368408E-1	9.748502085E0
1.088036825E0	6.935119629E-2	9.701889038E0	-9.318237305E-1	9.746781826E0
1.092034628E0	7.174682617E-2	9.706665039E0	-9.270324707E-1	9.751096502E0
1.096032431E0	6.695556641E-2	9.709060669E0	-9.294281006E-1	9.753675139E0
1.100030233E0	6.216430664E-2	9.706665039E0	-9.318237305E-1	9.751487376E0
1.104028036E0	5.976867676E-2	9.692306519E0	-9.270324707E-1	9.736722608E0
1.108025839E0	5.737304688E-2	9.699493408E0	-9.198455811E-1	9.743181202E0
