"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1653879582.349	"2022-05-29 21:59:42.349 UTC-05:00"
"PAUSE"	4.852945009E1	1653879630.879	"2022-05-29 22:00:30.879 UTC-05:00"
